"binomial","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5"
"Abditomys latidens",0.197447427877633,1.71003496135532,-0.48078901821993,-0.74303595982554,0.746800817546968
"Abeillia abeillei",-1.46133003967884,0.0658460188162074,-1.09389070000493,-1.18025500022838,-0.324182031315053
"Abeomelomys sevia",0.157288316128272,0.731276948125013,-1.46367960960807,-1.80346405401086,0.70374858212519
"Abrawayaomys ruschii",-0.456236603553617,1.30288047831348,-1.33704851880241,-0.699145764285514,0.552048973572214
"Abrocoma bennettii",0.366166155947331,2.07959861868136,-0.518473744717235,0.268015371481282,-0.159670081793502
"Abrocoma boliviensis",0.613048512663242,1.31076196503425,-0.559615060616912,-0.608513153719081,0.019528734287339
"Abrocoma budini",0.85141084595753,1.14207832555062,-0.772173931966776,-0.769953093837238,0.240961750746485
"Abrocoma cinerea",0.834100544506772,1.18751093298704,-0.722873048973577,-0.721253974364866,0.227917708851814
"Abrocoma famatina",0.433197776081015,1.35534461329131,-0.787359178418621,-0.984051141140216,0.683123979582208
"Abrocoma shistacea",0.851410845957526,1.14207832555062,-0.772173931966775,-0.769953093837232,0.240961750746487
"Abrocoma uspallata",0.532168553648806,1.44821144926087,0.193740772347873,-0.502944224662129,-0.0459454364808319
"Abrocoma vaccarum",0.791079717193327,1.37494624211873,-1.30928202441496,-0.469552494890748,0.198274350758724
"Abroscopus albogularis",-2.31014422441521,-0.214527843753687,-0.231560127673446,0.473736818450882,-0.0287453101490509
"Abroscopus schisticeps",-2.57663493528893,0.226280967360153,-0.574114490080272,0.912779862672193,-0.112593434271223
"Abroscopus superciliaris",-1.98946774615852,-0.440125449103605,-0.460826426801689,0.331698088373373,0.117878568847191
"Abrothrix andinus",-1.29983246276335,1.35151362813127,-0.0659724067870228,-0.189761985342106,0.0212691295835726
"Abrothrix illutea",0.772743215000738,1.41257978506944,-0.161975269670061,0.139822236432074,0.0635416784625024
"Abrothrix jelskii",-1.07885681688254,0.973944553784247,1.07026325352734,-0.679407303179617,0.214785024499238
"Abrothrix lanosus",-1.27660307332951,1.38308246341349,-0.0362941784261809,-0.151208771454213,0.0475531763254819
"Abrothrix longipilis",-1.0337658449903,0.978998030794483,1.06761534826471,-0.668885423434976,0.259981753417205
"Abrothrix olivaceus",-1.472411602975,1.50310333467406,0.721045179733112,-0.0763261411588125,-0.133188886763336
"Abrothrix sanborni",-1.38829447690637,1.6005914533051,-0.580624016938967,0.126194257309943,-0.0476530421780499
"Aburria aburri",2.36713251079211,0.702488407050121,0.0948195149804667,0.279657939377921,-0.341811341081398
"Acanthagenys rufogularis",0.247113919755887,-0.803482831693165,0.667938651590871,-0.539106353746546,-0.090007166546444
"Acanthidops bairdi",-0.975422411825778,-0.237541500395139,-0.575859511730367,0.16118777930113,-0.0963540627741787
"Acanthis flammea",-0.600067457393365,0.424751804381513,-0.318850399574585,-0.695671764991244,-0.480926377067699
"Acanthisitta chloris",-1.93492236836286,-0.369811255695783,0.588630854091459,0.0798621182123364,-0.0473745717266294
"Acanthiza apicalis",-0.730583112137319,-1.45130853537771,1.738677397994,-0.926969470036664,-0.419000046939329
"Acanthiza chrysorrhoa",-1.03062689263669,-1.25206197826433,1.96298856949502,-0.704044374620519,-0.211581572817969
"Acanthiza cinerea",-1.13359809219632,-1.16566331299646,-0.333588334027527,0.137043794178263,-0.225205762190723
"Acanthiza ewingii",-1.33440443719155,-0.852817734683894,1.00785506999689,-0.295276381287331,-0.310293691158724
"Acanthiza inornata",-1.54016686217713,-0.878333864626425,0.73650041549778,-0.0299912314701369,-0.172290727492264
"Acanthiza iredalei",-1.33487153145251,-0.600638926835433,-0.13107648302803,-0.0211177391901796,-0.413759597273061
"Acanthiza katherina",-1.06690949882996,-1.11678731376129,-0.826538885850338,0.322267667838265,-0.354443400061397
"Acanthiza lineata",-0.491129809903371,-1.4350811706898,1.54740680017258,-0.717057032424413,-0.791501418360315
"Acanthiza murina",-1.00425712230095,-0.972119274396692,-1.46958330976593,0.544567896220855,-0.295950751555101
"Acanthiza nana",-1.06621536218691,-1.3846771401522,1.53046951334404,-0.831253775911991,-0.273374870575031
"Acanthiza pusilla",-0.236913372685233,-1.83217229786217,1.8524426631036,-0.922409457538349,-0.772192787243943
"Acanthiza reguloides",-1.39044580842232,-0.75239427454657,0.815178201472726,0.0223940949123651,-0.337366004599782
"Acanthiza robustirostris",-1.32141797612203,-1.06349638973608,-0.232848799269421,0.175205880651461,-0.307037968783221
"Acanthiza uropygialis",-1.15440256895938,-1.00460774803106,0.810677237514267,-0.500396233108915,-0.33295476821619
"Acanthoptila nipalensis",-0.399350437970923,-0.438817597473502,0.600077509774437,0.536552089125842,0.0184209225371468
"Acanthorhynchus superciliosus",-0.49194085064153,-1.17190945390296,0.117279782558741,-1.40835056464064,0.0930825936938193
"Acanthorhynchus tenuirostris",-0.550311189394997,-1.53685999219279,0.956337272886249,-0.995279332269228,-0.101600768194375
"Acanthornis magna",-1.63317931951848,-0.479143284633393,-0.39836211933233,0.544755889305732,0.0206003097771449
"Accipiter albogularis",0.924870909140079,0.207566092561087,0.90154864252393,0.015809444751807,-0.167775957579484
"Accipiter badius",0.463498182124493,-0.209006397389001,1.6190923710509,-0.535685931870424,0.0793060461736338
"Accipiter bicolor",1.16237163419446,0.137983413094959,0.392864673854504,0.0605977466724593,-0.0844865153678808
"Accipiter brachyurus",0.613331828712188,0.409694411840101,-0.514198917697098,0.142394863885901,-0.133615028410738
"Accipiter brevipes",0.260232651671646,-0.514874876218515,1.94711076127179,0.273481661568941,0.169808165459333
"Accipiter butleri",0.844106912927187,0.67915489565797,-0.73242323023629,1.06837742381031,-0.228738149112607
"Accipiter castanilius",0.37313747688826,0.644639482891332,-0.899406262917009,0.69648150595436,-0.115204336639288
"Accipiter cirrocephalus",0.640476979565279,-0.308131964970755,1.8641654694815,-0.578109934297497,0.107505283536045
"Accipiter collaris",0.922463236672482,0.828115458338067,-0.756971966807927,0.918781304541345,-0.275563928189622
"Accipiter cooperii",1.17390128399495,0.280061208818267,1.87233835954988,0.296234591559671,-0.364712831668507
"Accipiter erythrauchen",0.734136507582855,0.252074637163422,-0.0500245229293445,0.0020465551021374,-0.147093059686601
"Accipiter erythropus",0.393802040932606,-0.707731192816846,-0.328598063725646,0.228279656439187,0.2144641910915
"Accipiter fasciatus",1.17511812034717,-0.454805037450086,1.3941367701674,0.0732819374629746,0.0922431411182309
"Accipiter francesiae",0.186442132548324,-0.94253308708022,1.07077294658111,0.362459679286849,0.279090156385653
"Accipiter gentilis",1.81894569695038,0.297754408471435,0.807116227211466,0.795015220920386,-0.415466068961422
"Accipiter griseiceps",0.790460657743439,-0.0767639276979,0.529439837051375,0.397066409529659,-0.0340830199205654
"Accipiter gularis",0.548333482041665,-0.454849545429033,2.02728016432123,-0.784153110510003,0.0316088729589181
"Accipiter gundlachi",1.30630422306258,0.408875979225474,1.16540161962378,0.448676698033498,-0.114721608150933
"Accipiter haplochrous",0.585713836678679,-0.37022334492837,0.812375216104864,0.28356734826821,0.157667119108406
"Accipiter henicogrammus",0.762486313577604,0.0328325816227249,-0.234433662567113,1.01736642158782,0.0127624536657699
"Accipiter henstii",2.18246932757336,-0.323646764467449,0.49528094486757,0.0311030262255208,0.0678376800233904
"Accipiter hiogaster",0.804004688018914,0.446822753023773,0.0446416799811893,0.127577181577775,0.250897375409792
"Accipiter imitator",0.529083425626195,-0.234384962510032,-0.373878133747073,0.936321765158413,0.123659354685623
"Accipiter luteoschistaceus",0.528099163577364,-0.482881569997697,0.462506364367846,0.562501110679556,0.168380529034932
